R,1002355
BTD,2000491
JHO,1002317
GOH,1002318
FOW,1002319
RBO,1002832
GOE,2000843
BOA,2000681
BOB,1002489
ULM,2000799
RBR,2000683
HBT,2000684
PRL,1002871
NBI,1002887
ETE,1002868
PRN,1002874
PRC,1002877
NGE,1002898
ISO,1002890
ECB,108
ECC,1002870
NBR,110
APC,1002879
IBC,112
ISL,113
ISC,114
AFE,1002882
NGC,1002900
SCP,1002881
ABF,118
ABR,1002973
ABS,1002895
APN,1002884
EGD,1002883
NGL,123
NGW,1002901
PLM,125
PRH,126
NPT,1002907
NEC,1002904
NJC,1002905
NBB,2000720
NSM,139
ARR,1002886
NAM,1002903
NOB,1002909
NJM,1002902
JOE,1002897
